state,year,drug_cat,probation_sentence_count,supervised_release_sentence_count,total_sentence_count_by_drug_cat,probation_sentence_rate,supervised_release_sentence_rate,total_sentences_by_state_year
Idaho,2024,Marijuana Trafficking,0,0,0,0,0,273
Illinois,2014,Marijuana Possession,0,0,0,0,0,1664
Illinois,2014,Marijuana Trafficking,4,35,37,0.108108108108108,0.945945945945946,1664
Illinois,2015,Marijuana Possession,0,0,0,0,0,1452
Illinois,2015,Marijuana Trafficking,2,19,21,0.0952380952380952,0.904761904761905,1452
Illinois,2016,Marijuana Possession,0,0,0,0,0,965
Illinois,2016,Marijuana Trafficking,1,11,12,0.0833333333333333,0.916666666666667,965
Illinois,2017,Marijuana Possession,0,0,0,0,0,891
Illinois,2017,Marijuana Trafficking,0,5,5,0,1,891
Illinois,2018,Marijuana Possession,0,0,0,0,0,989
Illinois,2018,Marijuana Trafficking,1,9,10,0.1,0.9,989
Illinois,2019,Marijuana Possession,0,0,0,0,0,936
Illinois,2019,Marijuana Trafficking,0,3,3,0,1,936
Illinois,2020,Marijuana Possession,0,0,0,0,0,794
Illinois,2020,Marijuana Trafficking,0,2,2,0,1,794
Illinois,2021,Marijuana Possession,0,0,0,0,0,892
Illinois,2021,Marijuana Trafficking,0,3,3,0,1,892
Illinois,2022,Marijuana Possession,0,0,0,0,0,960
Illinois,2022,Marijuana Trafficking,0,7,7,0,1,960
Illinois,2023,Marijuana Possession,0,0,0,0,0,934
Illinois,2023,Marijuana Trafficking,0,4,4,0,1,934
Illinois,2024,Marijuana Possession,0,0,0,0,0,802
Illinois,2024,Marijuana Trafficking,0,5,5,0,1,802
Indiana,2014,Marijuana Possession,0,0,0,0,0,765
Indiana,2014,Marijuana Trafficking,4,35,40,0.1,0.875,765
Indiana,2015,Marijuana Possession,0,0,0,0,0,648
Indiana,2015,Marijuana Trafficking,7,30,36,0.194444444444444,0.833333333333333,648
Indiana,2016,Marijuana Possession,0,0,1,0,0,482
Indiana,2016,Marijuana Trafficking,3,9,13,0.230769230769231,0.692307692307692,482
Indiana,2017,Marijuana Possession,0,0,0,0,0,562
Indiana,2017,Marijuana Trafficking,1,3,4,0.25,0.75,562
Indiana,2018,Marijuana Possession,0,0,0,0,0,609
Indiana,2018,Marijuana Trafficking,0,5,6,0,0.833333333333333,609
Indiana,2019,Marijuana Possession,0,0,0,0,0,659
Indiana,2019,Marijuana Trafficking,0,4,4,0,1,659
Indiana,2020,Marijuana Possession,0,0,0,0,0,725
Indiana,2020,Marijuana Trafficking,0,4,4,0,1,725
Indiana,2021,Marijuana Possession,0,0,0,0,0,626
Indiana,2021,Marijuana Trafficking,0,7,7,0,1,626
Indiana,2022,Marijuana Possession,0,0,0,0,0,702
Indiana,2022,Marijuana Trafficking,0,4,4,0,1,702
Indiana,2023,Marijuana Possession,0,0,0,0,0,520
Indiana,2023,Marijuana Trafficking,0,3,3,0,1,520
Indiana,2024,Marijuana Possession,0,0,0,0,0,470
Indiana,2024,Marijuana Trafficking,0,8,8,0,1,470
Iowa,2014,Marijuana Possession,1,0,1,1,0,647
Iowa,2014,Marijuana Trafficking,2,14,16,0.125,0.875,647
Iowa,2015,Marijuana Possession,0,0,0,0,0,650
Iowa,2015,Marijuana Trafficking,1,16,17,0.0588235294117647,0.941176470588235,650
